Date,Player,Team,HR,HR_Score,HR_Rank,Kasper_Pick,Board_Top15
2026-06-12,James Wood,WSH,1,100,1,Yes,Yes
2026-06-12,Yordan Alvarez,HOU,1,100,2,Yes,Yes
2026-06-12,Kyle Schwarber,PHI,0,100,3,Yes,Yes
2026-06-12,Mike Trout,LAA,0,98,4,No,Yes
2026-06-12,Juan Soto,NYM,1,90,5,Yes,Yes
2026-06-12,Nick Kurtz,OAK,0,91,6,No,Yes
2026-06-12,Luke Raley,SEA,0,91,7,Yes,Yes
2026-06-12,Matt Olson,ATL,1,85,8,Yes,Yes
2026-06-12,Corey Seager,TEX,0,86,9,Yes,Yes
2026-06-12,Kazuma Okamoto,TOR,1,86,11,No,Yes
2026-06-12,Hunter Goodman,COL,0,84,12,Yes,Yes
2026-06-12,Byron Buxton,MIN,1,84,13,Yes,Yes
2026-06-12,Dominic Canzone,SEA,0,81,14,No,Yes
2026-06-12,Miguel Vargas,CWS,0,80,15,Yes,Yes
2026-06-12,Samuel Basallo,BAL,1,70,0,Yes,No
2026-06-12,Willson Contreras,BOS,1,0,0,Yes,No
2026-06-12,Andrew Benintendi,CWS,1,0,0,No,No
2026-06-12,Noelvi Marte,CIN,1,0,0,No,No
2026-06-12,Endy Rodriguez,PIT,1,0,0,No,No
2026-06-12,James Outman,DET,1,0,0,No,No
2026-06-12,George Springer,TOR,1,0,0,No,No
2026-06-12,Christian Walker,HOU,1,0,0,No,No
2026-06-12,Gunnar Henderson,BAL,1,0,0,No,No
2026-06-12,Bo Bichette,NYM,1,0,0,No,No
2026-06-12,Alec Burleson,STL,1,0,0,Yes,No
2026-06-12,Jake Bauers,MIL,1,0,0,Yes,No
2026-06-12,Cody Bellinger,NYY,1,0,0,No,No
2026-06-12,Liam Hicks,MIA,1,0,0,No,No
2026-06-12,Brandon Lowe,PIT,1,0,0,No,No
2026-06-12,Spencer Torkelson,DET,1,0,0,No,No
2026-06-12,Wilyer Abreu,BOS,1,0,0,Yes,No
2026-06-12,Ceddanne Rafaela,BOS,1,0,0,No,No
2026-06-12,Colt Emerson,SEA,1,0,0,Yes,No
